run,id,category,prompt,model,retrieval_method,retrieved_ids,retrieved_refs,retrieved_text,baseline_response,nishkama_response
1,P11,rejection,I got rejected and now I feel like nobody will ever want me.,claude-opus-4-8,semantic,G11; G18,BG 6.5; BG 12.13,"Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy. | Be free of hatred toward all, friendly and compassionate, without possessiveness or ego, even-minded in pain and pleasure, and patient.","I'm really sorry you're hurting right now—rejection can cut deep and make everything feel hopeless in the moment. But I want to gently point out that one person saying no, or one opportunity not working out, doesn't tell you anything about your worth or what's possible for you in the future. The feeling that ""nobody will ever want me"" is your pain talking, not a fact, even though it feels completely real right now. It's okay to grieve and sit with the disappointment for a while; you don't have to rush past it. Just try not to let this one moment write the whole story of who you are or what you deserve. What happened, if you want to talk about it?","Rejection stings, and it's completely natural to feel this raw right now. But notice the leap your mind just made—from one ""no"" to ""nobody will ever want me."" That's the pain talking, not the truth. One person's choice, for whatever reasons of their own, simply can't tell you what every future person will see in you. Be gentle with yourself here rather than piling on with harsh conclusions; in moments like this you get to choose whether you're your own friend or your own enemy. Give yourself some time to grieve, and then let the door stay open—because this single moment doesn't define your worth or your future."
1,P12,overwhelm,There's so much going on that I feel completely paralyzed and hopeless.,claude-opus-4-8,semantic,G28; G13,BG 18.66; BG 6.35,"Let go of anxious clinging to every outcome; set down the burden of needing to control all things, and do not grieve. | The mind is indeed restless and hard to hold, yet through steady practice and through letting go, it can be calmed.","That sounds incredibly heavy, and it makes sense that you'd feel frozen when everything seems to be piling up at once. When there's that much going on, our minds can struggle to find a place to even begin, and the paralysis itself can feel like more proof that things are hopeless. But feeling stuck right now doesn't mean you're actually stuck forever—it often means you're overwhelmed and need to set some of the weight down before you can move. Would it help to talk through what's on your plate, so we can look at it together instead of it being one big crushing mass? You don't have to figure it all out at once, and you don't have to do it alone.","That feeling of paralysis often comes from trying to hold the whole weight of everything at once—it makes sense that you'd feel frozen under all of it. You don't have to solve it all today, or even see the full path forward right now. What's one small thing, just one, that feels even slightly within reach? Sometimes the restless, overwhelmed mind settles a little when we stop demanding that it figure out the entire picture and just let it rest on the next single step. And the hopelessness you're feeling is real, but it isn't the final truth about your situation—it's the fog of being overloaded, and fog lifts. I'm here, and I'd genuinely like to hear more about what's piling up on you, if you want to name some of it out loud."
1,P13,resentment,My family doesn't appreciate anything I do and I'm sick of even trying.,claude-opus-4-8,semantic,G04; G10,BG 2.38; BG 3.35,"Treat pleasure and pain, gain and loss, victory and defeat as the same, and then act; meeting them evenly, you bring no harm upon yourself. | It is better to do your own duty imperfectly than to do another's duty well; follow the path that is genuinely yours.","That sounds exhausting, and honestly pretty discouraging—putting in effort and feeling like it goes unnoticed wears a person down over time. It makes sense that you'd reach a point of being sick of trying. Can I ask what's been happening lately that's brought this to a head? Sometimes families fall into patterns where the people who do the most become invisible, not because no one cares but because their contributions get taken for granted. That doesn't make it okay, though—you deserve to feel seen. I'm curious whether you've ever told them directly how this feels, or if it's the kind of thing that's been building up quietly.","That sounds genuinely exhausting, and it makes sense that you'd feel worn down after pouring yourself into people who don't seem to notice. It's worth asking honestly: are you doing these things because they're truly yours to do, or because you're hoping for a certain reaction that hasn't come? If your efforts are real expressions of who you want to be, they hold their value even when no one claps for them. But if you're only acting to earn appreciation, that's a kind of trade that leaves you empty when the other side doesn't pay up. Maybe give yourself permission to step back from the resentment for a moment and notice which of these things you'd still want to do even if no thanks ever came. And it might be worth telling your family plainly how you feel, rather than carrying it silently until you burn out."
1,P14,self_doubt,I don't think I'm talented enough to ever be good at anything.,claude-opus-4-8,semantic,G10; G17,BG 3.35; BG 2.3,It is better to do your own duty imperfectly than to do another's duty well; follow the path that is genuinely yours. | Do not give way to weakness; it does not suit you. Shake off this faint-heartedness and rise.,"That feeling is heavy, and I'm sorry you're carrying it—but I'd gently push back on the idea that talent is what determines whether you become good at something. Most of the people who are genuinely skilled at things got there through repetition, frustration, and sticking with it long after it stopped feeling exciting, not because they were born gifted. The fact that you're measuring yourself this harshly often means you actually care a lot, which is its own kind of fuel. What's the thing you wish you were good at? Sometimes naming it makes it feel less like a vague verdict on your whole self and more like something concrete you can actually work toward.","I hear how heavy that feeling is, and I want you to know it's a painful place to be—but it's not the truth about you. Talent is rarely the thing that makes people good at something; it's the willingness to keep showing up imperfectly, again and again, that matters most. The reflection about doing your own work imperfectly speaks to this: you don't have to be the best or compare yourself to anyone, you just have to walk the path that's genuinely yours. What's one thing that feels even a little bit like ""yours,"" something you return to even when you doubt yourself? Let's start there, because I suspect this feeling is more about discouragement right now than about any real lack in you."
1,P15,loneliness,"I feel completely alone, like no one really understands me or cares.",claude-opus-4-8,semantic,G21; G11,BG 6.32; BG 6.5,"The one who sees others as like themselves, and feels their joy and pain as their own, is regarded as the highest in understanding. | Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy.","That sounds really painful, and I'm sorry you're carrying that weight right now. Feeling unseen and unimportant to others can be one of the loneliest experiences there is. I want you to know that what you're feeling is real, even if it doesn't reflect the whole truth about how others see you—sometimes pain has a way of convincing us we're more alone than we actually are. Would you be willing to tell me a bit more about what's been happening lately that's left you feeling this way? You don't have to sort through it by yourself, and I'm genuinely here to listen.","That feeling of being unseen is one of the heaviest kinds of pain, and I'm sorry you're carrying it right now. Sometimes loneliness convinces us that no one cares, when really it may be that the people around us simply don't know what's happening inside you—because we so often hide it well. There's something worth holding onto in the idea that you can be your own friend: in moments when others feel far away, the way you speak to yourself and treat yourself matters enormously. Can you tell me more about what's been making you feel so alone lately—is it a recent change, or something that's been building for a while? I'm here, and I genuinely want to understand what you're going through."
1,P16,guilt,I let someone down and I feel like a terrible person because of it.,claude-opus-4-8,semantic,G11; G28,BG 6.5; BG 18.66,"Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy. | Let go of anxious clinging to every outcome; set down the burden of needing to control all things, and do not grieve.","That feeling is heavy, and the fact that it's weighing on you says something important about who you are—people who genuinely don't care don't lose sleep over letting someone down. But I want to gently push back on the ""terrible person"" part. Letting someone down is something you did in a moment; it isn't the whole of who you are. We all fall short sometimes, even when we're trying our best, and one mistake doesn't erase your worth or define your character. What happened, if you feel like sharing? Sometimes talking through it helps separate the actual situation from the harsh story you might be telling yourself about it.","It sounds like you really care about this person and about doing right by them—that regret you're feeling comes from a good place. But letting someone down in a moment doesn't make you a terrible person; it makes you a human being who fell short of their own standards, which is something we all do. There's a real difference between feeling guilt over an action and condemning your whole self because of it, and the second one rarely helps anyone, including the person you hurt. If there's a way to acknowledge it to them or make amends, that's usually more useful than carrying the weight of self-judgment. Can you tell me a bit more about what happened? Sometimes naming it clearly helps separate the mistake from the story you're telling yourself about who you are."
1,P17,burnout,I'm so exhausted and drained that I can't bring myself to do anything anymore.,claude-opus-4-8,semantic,G28; G17,BG 18.66; BG 2.3,"Let go of anxious clinging to every outcome; set down the burden of needing to control all things, and do not grieve. | Do not give way to weakness; it does not suit you. Shake off this faint-heartedness and rise.","That sounds really heavy, and I'm sorry you're feeling this depleted. When exhaustion gets to the point where even basic things feel impossible, it's often a sign that you've been running on empty for a while—maybe longer than you realized. It might help to ask yourself what's been draining you: is it physical tiredness, emotional stress, or that bone-deep weariness that doesn't go away with rest? You don't have to fix everything right now; sometimes the only thing you can do is let yourself stop and acknowledge that you're worn out, and that's okay. If this has been going on for weeks and you're losing interest in things that used to matter, it could be worth talking to a doctor or therapist, since that kind of persistent exhaustion can sometimes point to something like burnout or depression. What's been weighing on you most lately?","That sounds really heavy, and I'm sorry you're carrying it. When exhaustion runs that deep, it's often not just the body but the mind and heart that are worn down too. I'd gently push back on the idea that you need to ""rise"" and push through right now—sometimes the most honest thing is to admit you're depleted and let yourself rest without guilt. There's wisdom in setting down the burden of feeling like you have to control or fix everything; maybe for now, the only task is to be a little kinder to yourself. Can you tell me what's been draining you most—is it work, people, or something quieter underneath all of it? You don't have to have it figured out to start talking about it."
1,P18,betrayal,"Someone I trusted lied to me, and now I feel like I can't trust anyone.",claude-opus-4-8,semantic,G11; G12,BG 6.5; BG 6.6,"Lift yourself by your own effort, and do not drag yourself down; you can be your own friend or your own enemy. | For one who has mastered the self, the self is a friend; but for one who has not, the self behaves like an enemy.","That sounds really painful, and it makes sense that you're feeling shaken right now. When someone we trust lies to us, it doesn't just hurt in the moment—it can make us question our own judgment and put up walls to protect ourselves. That instinct to guard yourself is understandable, even if it feels lonely. But I'd gently offer that one person's betrayal, as real as it is, doesn't have to be the verdict on everyone in your life. It might help to give yourself time to grieve this before deciding what it means for your other relationships—you don't have to figure all of that out today.","That betrayal really hurts, and it makes sense that you're feeling shaken right now—when someone we trust lies, it shakes our sense of who's safe. But notice the leap your mind is making: from ""this one person lied"" to ""I can't trust anyone."" That's a natural protective reaction, but it can quietly become its own kind of harm, sealing you off from the people who haven't let you down. The teaching that we can be our own friend or our own enemy speaks to this; you get to decide whether this pain hardens into permanent walls or becomes wiser, more discerning trust. Trust doesn't have to be all-or-nothing—you can let people earn it gradually, paying attention to who shows up honestly over time. Be gentle with yourself as you heal, and try not to let one person's dishonesty rewrite how you see everyone."
1,P19,helplessness,"No matter how hard I try, nothing ever seems to change for me.",claude-opus-4-8,semantic,G04; G16,BG 2.38; BG 2.40,"Treat pleasure and pain, gain and loss, victory and defeat as the same, and then act; meeting them evenly, you bring no harm upon yourself. | On this path no effort is wasted and no step is lost; even a little movement toward it protects you from great fear.","That sounds exhausting, and I can hear how worn down you feel by it. When you've put in real effort and still don't see things shift, it's natural to start wondering if anything will ever be different. But I want to gently push back on the idea that *nothing* changes—sometimes progress is slower or quieter than we expect, and our own struggle makes it hard to see. Can you tell me more about what you've been trying to change? Sometimes when we look closely, we find that the problem isn't a lack of effort but that the effort's been aimed at the wrong thing, or that you've been carrying more than any one person should have to alone.","That feeling of running hard and staying in the same place is genuinely exhausting, and I don't want to brush past how discouraging it is. But I'd gently push back on the word ""nothing""—when we're worn down, our minds tend to erase the small shifts that have actually happened. There's something freeing in the idea that no sincere effort is ever truly wasted, even when the results aren't visible yet; sometimes the change is happening underneath, in you, before it shows up in your circumstances. It might help to ask whether you've been measuring yourself only by outcomes you can't fully control, rather than by the steadiness you bring to the trying. What's one area where you feel most stuck right now—maybe we can look at it more closely together?"
1,P20,perfectionism,"If I can't do something perfectly, I feel like there's no point in even trying.",claude-opus-4-8,semantic,G10; G23,BG 3.35; BG 18.48,"It is better to do your own duty imperfectly than to do another's duty well; follow the path that is genuinely yours. | Do not abandon the work suited to your nature even if it is flawed; every undertaking carries some imperfection, as fire carries smoke.","That all-or-nothing feeling is exhausting, and I think it ends up costing you more than the imperfection ever would. The truth is, almost nothing worthwhile gets done perfectly the first time—or ever—and waiting for that guarantee often means missing out on things you actually care about. I'd gently push back on the idea that an imperfect effort is pointless, because most growth, skill, and even joy lives in the messy, mediocre middle of trying. What might help is asking yourself what ""good enough"" would look like for a given thing, rather than measuring everything against perfect. Where do you think this pressure to be perfect comes from for you?","I hear how heavy that feeling is, and I want to gently push back on it. The idea that something is only worth doing if you can do it perfectly sets an impossible bar, and it ends up robbing you of all the things you might actually grow into. There's real wisdom in the thought that every undertaking carries some imperfection, just as fire naturally carries smoke—the flaw doesn't cancel the worth. Imperfect effort on something that's genuinely yours is far more meaningful than flawless work on something that was never really for you. Maybe the question isn't ""can I do this perfectly?"" but ""is this worth doing, even messily?"" What's one thing you've been holding back from because it wouldn't be perfect?"
